age,count,avg_e,sd_empathy,avg_pb,sd_pb
18,6,2.9761904761904763,0.46437728034799625,4.5,0.6291802353817555
19,4,3.4642857142857144,0.13677530110804847,4.75,0.6777657347377286
20,8,3.0892857142857144,0.42472766098504916,4.795454545454546,1.12474580625557
21,9,3.238095238095238,0.3113499245386196,4.858585858585858,0.8183220979630774
22,10,3.242857142857143,0.38715193569862555,4.581818181818182,0.7237287388377299
23,7,3.3469387755102042,0.6219190339123483,4.467532467532467,0.3907630855894982
24,5,3.6,0.5091008480344419,5,0.40144367574217477
25,3,3.4761904761904763,0.43643578047198484,5.121212121212121,0.42961960238660035
26,9,3.4444444444444446,0.541372238138194,4.5353535353535355,0.5050252518939078
27,8,3.357142857142857,0.4319593977248311,4.1477272727272725,0.9570930752353808
28,11,3.1948051948051948,0.5041571154229006,4.801652892561983,0.8755807346212969
29,12,3.2023809523809526,0.5040037596427981,4.613636363636363,0.8178373930694474
30,10,3.1142857142857143,0.32156081935493575,4.618181818181818,0.7155622857282637
31,14,3.0816326530612246,0.25502353580113735,4.558441558441558,0.5579650872570486
32,7,3.36734693877551,0.24546419799549282,4.597402597402597,0.5501243106627917
33,6,3.0952380952380953,0.2659855246432178,4.5606060606060606,0.5123811425703604
34,12,3.25,0.3906371751349359,4.765151515151516,0.6549336926346506
35,12,3.107142857142857,0.317252818189769,4.431818181818182,0.5483737311914718
36,16,3.196428571428571,0.3571428571428571,4.8352272727272725,0.4903686699891084
37,13,3.5604395604395602,0.5728005507658088,4.72027972027972,0.542239944729749
38,9,3.888888888888889,0.561420291550076,4.212121212121212,0.721568539381252
39,13,3.6483516483516483,0.47242097786236964,4.699300699300699,0.5383177236578351
40,20,3.4285714285714284,0.34684398780964804,4.831818181818182,0.5535876896604013
41,14,3.489795918367347,0.6599421641427801,4.5064935064935066,0.4672548848519794
42,10,3.257142857142857,0.3353679402220764,4.490909090909091,0.845449114786512
43,11,3.272727272727273,0.4012965998347868,4.694214876033058,0.578217161973944
44,12,3.3095238095238098,0.4032950246811771,4.537878787878788,0.7630244826556885
45,11,3.324675324675325,0.3325284035185081,4.619834710743802,0.6678176890553114
46,12,3.2738095238095237,0.30735168577831656,4.606060606060606,0.5921263157081179
47,11,3.2337662337662336,0.4298681680812143,4.380165289256198,0.6897336673897244
48,7,3.36734693877551,0.2840085135394301,4.363636363636363,0.47237749297333026
49,14,3.1530612244897958,0.4498884763751472,4.759740259740259,0.5223633793981229
50,9,3.2222222222222223,0.3122589773477143,4.101010101010101,0.8484848484848486
51,13,3.340659340659341,0.35253436913773184,4.783216783216783,0.5720034646325143
52,11,3.5324675324675323,0.5074582885881082,4.462809917355372,0.6251671451931882
53,15,3.1904761904761902,0.37278663289306824,4.315151515151515,0.5409627460747114
54,8,3.357142857142857,0.2645200285064433,4.681818181818182,0.6923430096239918
55,9,3.492063492063492,0.6855323832803795,4.696969696969697,0.4679831882266818
56,15,3.314285714285714,0.5993193418115151,4.648484848484848,0.6705710149038075
57,6,2.9285714285714284,0.99693407556388,4.136363636363637,0.9460662356907413
58,8,3.232142857142857,0.45135041948156057,4.136363636363636,0.9103886840686692
59,7,3.1224489795918364,0.3818017741606062,4.792207792207792,0.33899172208574696
60,8,3.321428571428571,0.22587697572631285,4.840909090909091,0.26946096001618736
61,10,3.414285714285714,0.5732115042211109,4.781818181818182,0.7973786253570561
62,7,3.489795918367347,0.5141345204813929,4.402597402597403,0.6026962898411374
63,8,3.357142857142857,0.39678004275966483,4.795454545454545,0.8510705807464163
64,6,3.5952380952380953,0.38773719972994825,4.924242424242424,0.4122771540973784
65,5,3.7142857142857144,0.4517539514526257,4.8,0.6311474530076285
66,5,3.2857142857142856,0.10101525445522103,5.127272727272727,0.5166644450321024
67,12,3.2857142857142856,0.5345224838248487,4.924242424242424,0.48390058856579726
68,8,3.392857142857143,0.22587697572631288,4.590909090909091,0.5770093478317679
69,2,3.2142857142857144,0.10101525445522103,5.181818181818182,0.38569460791993465
70,4,2.7142857142857144,1.1605769149479945,4.181818181818182,1.1378777791223387
71,6,3.4047619047619047,0.2772557452954217,5,0.27574092523823795
72,5,3.2285714285714286,0.29623487647611013,5.036363636363636,0.47062469474708296
73,1,3.142857142857143,NA,5.090909090909091,NA
74,3,3.571428571428571,0.8689660757568883,4.96969696969697,0.4484438965742044
75,5,3.4857142857142858,0.6593131862408188,4.781818181818182,0.4836158573916503
76,3,3.142857142857143,0.2857142857142856,4.909090909090909,0.47237749297332976
77,3,3.4761904761904763,0.16495721976846467,4.636363636363636,0.314918328648887
78,1,2.5714285714285716,NA,4.363636363636363,NA
79,10,3.4571428571428573,0.5163977794943222,4.890909090909091,0.4690611532336809
80,2,3.571428571428571,0.40406101782088444,5.227272727272727,0.32141217326661226
81,1,3.5714285714285716,NA,5.454545454545454,NA
82,5,3.4285714285714284,0.47380354147934284,4.9818181818181815,0.456360014473132
83,4,3.428571428571429,0.48092880658867065,5.363636363636363,0.4328138441541123
85,4,2.9642857142857144,0.29450754468697565,5.0227272727272725,0.8143851303258599
86,1,2.142857142857143,NA,6,NA
87,1,3.2857142857142856,NA,4.818181818181818,NA
88,1,3.142857142857143,NA,4.818181818181818,NA
89,3,3.7142857142857144,0.24743582965269692,5.151515151515151,0.4099317957111723
